EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS) - APENAS EMPRESAS BRASILEIRAS;DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KDFW;DALLAS/FORT WORTH;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBGR;SÃO PAULO - GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;7978;177;200229;0;63617;75801600;65619050;11926250;7091562,1;;263200;32;1646883525;0;523249825;9216;1450000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KJFK;NEW YORK;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO - GALEÃO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;5441;187;79963;0;32314;62802559;41912023;10745685;4008271,456;;238793;31;614383577;0;248914742;8153;1395000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KJFK;NEW YORK;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBGR;SÃO PAULO - GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;6994;246;195438;0;33779;88064800;66336556;15624400;6908273,024;;284080;31;1637819412;0;295211912;9610;1705000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KLAX;LOS ANGELES;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBGR;SÃO PAULO - GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;5689;121;146612;0;14699;62675712;56275588;9793080;5816357,512;;217624;22;1450285904;0;145402508;6336;990000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KMIA;MIAMI;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;4466;74;3517;0;0;31231260;25858140;2512860;1959723,93;;179490;31;20340270;0;0;5394;434000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KMIA;MIAMI;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBCF;BELO HORIZONTE - CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;5505;115;85902;0;0;42041084;35215485;6940745;3190676,469;;198307;31;549515094;0;0;6572;1085000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KMIA;MIAMI;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;Internacional;Não-regular;747;5;3;0;0;3462144;2886408;324576;216492,192;;27048;7;11592;0;0;896;84000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KMIA;MIAMI;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;2603;28;677;0;0;12364800;10057992;1159200;756965,328;;96600;25;2615928;0;0;3200;300000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KMIA;MIAMI;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO - GALEÃO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Não-regular;3700;142;48622;0;12873;29536134;24226506;5025060;2226672,47;;111668;17;324298604;0;85385916;4496;765000;
AAL;AMERICAN AIRLINES;ESTRANGEIRA;2017;1;KMIA;MIAMI;;;ESTADOS UNIDOS;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO - GALEÃO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;Internacional;Regular;9451;189;118529;0;40165;71876238;63302798;11821970;5810642,262;;261222;39;793907242;0;269025170;10731;1765000;
